fecha,valor,precio_ndx
2026-07-05,1.7,29329.2109
2026-07-06,-12.1,29329.2109
2026-07-08,-6.4,29173.0195
2026-07-09,1.9,29252.5605
2026-07-10,6.3,29727.0996
2026-07-15,14.3,29586.2891
