fecha,equity_sys,equity_qqq,qqq_weight,mmf_weight,tlt_weight,score_ema
2003-01-02,1.0,1.0,0.5,,,
2003-01-03,1.0055912966633678,1.0110238631680053,0.5,,,
2003-01-06,1.0182017867236193,1.0362206161320962,0.5,,,
2003-01-07,1.0246656234762097,1.0492125875607439,0.5,,,
2003-01-08,1.0103285165109575,1.0196849103985086,0.5,,,
2003-01-09,1.0260122713919895,1.0511810518950686,0.5,,,
2003-01-10,1.0337793359720118,1.0669293896986103,0.5,,,
2003-01-13,1.0308094640791667,1.0606298231293,0.5,,,
2003-01-14,1.0335696676993436,1.0661415766764617,0.5,,,
2003-01-15,1.0271634080107177,1.052756054810422,0.5,,,
2003-01-16,1.0214829665606804,1.040945001749212,0.5,,,
2003-01-17,0.9997357789711537,0.996456710787163,0.5,,,
2003-01-21,0.9942851871950064,0.9854331146744194,0.5,,,
2003-01-22,0.9923779518144784,0.98149618600577,0.5,,,
2003-01-23,1.0040006194754685,1.0043308351797238,0.5,,,
2003-01-24,0.9905020257812012,0.9771653508260465,0.5,,,
2003-01-27,0.9847942866374639,0.9657484713311726,0.5,,,
2003-01-28,0.9898907936000446,0.9755910600580577,0.5,,,
2003-01-29,0.997359420656832,0.9901576783283764,0.5,,,
2003-01-30,0.9845500921230448,0.9645668408163701,0.5,,,
2003-01-31,0.9834228017428108,0.962204915063074,0.5,,,
2003-02-03,0.984506786955306,0.9641733793973987,0.5,,,
2003-02-04,0.978554718166035,0.952362059280927,0.5,,,
2003-02-05,0.9764076829211538,0.9480317582117268,0.5,,,
2003-02-06,0.9791207829774371,0.953149783284655,0.5,,,
2003-02-07,0.9711101817338643,0.9374022466468986,0.5,,,
2003-02-10,0.9754696012207251,0.9456696544215896,0.5,,,
2003-02-11,0.9781865338597836,0.950787412439256,0.5,,,
2003-02-12,0.9715811684275839,0.9377957970842906,0.5,,,
2003-02-13,0.9741054798416856,0.9425200046645652,0.5,,,
2003-02-14,0.9853722981821511,0.9641733793973987,0.5,,,
2003-02-18,1.000740095029805,0.9940946960154464,0.5,,,
2003-02-19,0.9974509026647009,0.9874022021376884,0.5,,,
2003-02-20,0.995541433335149,0.9834650064137772,0.5,,,
2003-02-21,0.999406434992469,0.9909451352768428,0.5,,,
2003-02-24,0.9909487588930106,0.9740157010690222,0.5,,,
2003-02-25,0.9916283109441512,0.9751969755101424,0.5,,,
2003-02-26,0.9806980384771824,0.9535438678325707,0.5,,,
2003-02-27,0.9919107344244977,0.9751969755101425,0.5,,,
2003-02-28,0.9997981612814817,0.9905512287657686,0.5,,,
2003-03-03,0.9897445623215806,0.9704727679298678,0.5,,,
2003-03-04,0.9868115095255059,0.9645668408163702,0.5,,,
2003-03-05,0.9878967127177296,0.9665352161322744,0.5,,,
2003-03-06,0.9867680992501148,0.9641733793973989,0.5,,,
2003-03-07,0.9878537111291176,0.9661418437317236,0.5,,,
2003-03-10,0.9772646960127696,0.9452759259473565,0.5,,,
2003-03-11,0.9730681593393443,0.9370075389700393,0.5,,,
2003-03-12,0.9819359138980459,0.9539370621962805,0.5,,,
2003-03-13,1.0101790726798352,1.0086613142857654,0.5,,,
2003-03-14,1.01223093941201,1.0125987770649383,0.5,,,
2003-03-17,1.029627922588151,1.047244657336943,0.5,,,
2003-03-18,1.0360963931853389,1.0602367177840113,0.5,,,
2003-03-19,1.0317538834652091,1.0511810518950688,0.5,,,
2003-03-20,1.0337679406665636,1.0551181586005594,0.5,,,
2003-03-21,1.0409862230525375,1.0696853999998222,0.5,,,
2003-03-24,1.019421625863957,1.025197376093035,0.5,,,
2003-03-25,1.0267449858521145,1.039764350437036,0.5,,,
2003-03-26,1.0297421540367784,1.0456696544215895,0.5,,,
2003-03-27,1.0261406956719494,1.0381893475216828,0.5,,,
2003-03-28,1.0205793727548185,1.0267713107873413,0.5,,,
2003-03-31,1.0044205917933218,0.9940946960154465,0.5,,,
2003-04-01,1.0084782201305005,1.0019687313895864,0.5,,,
2003-04-02,1.022427386446571,1.029527944217497,0.5,,,
2003-04-03,1.0289597149867267,1.0425199156461447,0.5,,,
2003-04-04,1.0206867630977818,1.025590481438324,0.5,,,
2003-04-07,1.0215513732234662,1.0271652172984156,0.5,,,
2003-04-08,1.0210451280950792,1.0259841208941367,0.5,,,
2003-04-09,1.009372144859863,1.002362370845399,0.5,,,
2003-04-10,1.0155975441950622,1.0145675974729451,0.5,,,
2003-04-11,1.0105545700610228,1.0043308351797238,0.5,,,
2003-04-14,1.0209345234105964,1.0248034695819606,0.5,,,
2003-04-15,1.025918176251508,1.0346458802720047,0.5,,,
2003-04-16,1.0248284650048634,1.032283687463447,0.5,,,
2003-04-17,1.0366355534362106,1.055905793585867,0.5,,,
2003-04-21,1.038650409731981,1.059842811272937,0.5,,,
2003-04-22,1.0485713739294367,1.0799213611272585,0.5,,,
2003-04-23,1.0524772339827637,1.0877952184645572,0.5,,,
2003-04-24,1.0497040632680805,1.0818900925168449,0.5,,,
2003-04-25,1.0396647064407591,1.0610239966956365,0.5,,,
2003-04-28,1.049970241543342,1.0818900925168449,0.5,,,
2003-04-29,1.0548295404872317,1.0917324141884683,0.5,,,
2003-04-30,1.0495876405245825,1.080708551020463,0.5,,,
2003-05-01,1.0542595823167338,1.0901579453836387,0.5,,,
